"filename", "language", "JavaScript", "JSON", "Markdown", "comment", "blank", "total"
"/Users/anthony/Documents/GitHub/grocery-list/package-lock.json", "JSON", 0, 2686, 0, 0, 1, 2687
"/Users/anthony/Documents/GitHub/grocery-list/package.json", "JSON", 0, 29, 0, 0, 1, 30
"/Users/anthony/Documents/GitHub/grocery-list/server.js", "JavaScript", 33, 0, 0, 8, 9, 50
"/Users/anthony/Documents/GitHub/grocery-list/util/code_generator.js", "JavaScript", 15, 0, 0, 7, 5, 27
"/Users/anthony/Documents/GitHub/grocery-list/util/get_index.js", "JavaScript", 42, 0, 0, 2, 1, 45
"/Users/anthony/Documents/GitHub/grocery-list/util/validation/index.js", "JavaScript", 8, 0, 0, 0, 2, 10
"/Users/anthony/Documents/GitHub/grocery-list/util/validation/item.js", "JavaScript", 59, 0, 0, 5, 8, 72
"/Users/anthony/Documents/GitHub/grocery-list/util/validation/list.js", "JavaScript", 89, 0, 0, 9, 15, 113
"/Users/anthony/Documents/GitHub/grocery-list/util/validation/user.js", "JavaScript", 55, 0, 0, 5, 10, 70
"Total", "-", 3748, 44627, 7, 178, 410, 48970
